"model","capacity","n","bankruptcies","threshold","roc_auc","average_precision","recall","specificity","precision","accuracy","balanced_accuracy","f1","brier","review_rate","tp","fp","fn","tn"
"Ridge logistic",0.05,4726,327,0.22539221607275,0.864406909271148,0.526296539193865,0.394495412844037,0.975676290065924,0.546610169491525,0.93546339399069,0.68508585145498,0.458259325044405,0.0459803334274487,0.0499365213711384,129,107,198,4292
"Ridge logistic",0.1,4726,327,0.1143465693245,0.864406909271148,0.526296539193865,0.571865443425077,0.935212548306433,0.396186440677966,0.910071942446043,0.753538995865755,0.468085106382979,0.0459803334274487,0.0998730427422768,187,285,140,4114
"Ridge logistic",0.15,4726,327,0.0819271331975,0.864406909271148,0.526296539193865,0.691131498470948,0.890429643100705,0.319209039548023,0.876639864578925,0.790780570785826,0.436714975845411,0.0459803334274487,0.149809564113415,226,482,101,3917
"Ridge logistic",0.2,4726,327,0.06646771608875,0.864406909271148,0.526296539193865,0.755351681957186,0.841327574448738,0.261375661375661,0.835378755818874,0.798339628202962,0.388364779874214,0.0459803334274487,0.199957680914092,247,698,80,3701
"Ridge logistic",0.25,4726,327,0.05621241964425,0.864406909271148,0.526296539193865,0.798165137614679,0.790861559445328,0.220999153259949,0.79136690647482,0.794513348530004,0.346153846153846,0.0459803334274487,0.249894202285231,261,920,66,3479
"Ridge logistic",0.3,4726,327,0.0494313470665,0.864406909271148,0.526296539193865,0.82874617737003,0.73948624687429,0.191249117854622,0.745662293694456,0.78411621212216,0.310779816513761,0.0459803334274487,0.299830723656369,271,1146,56,3253
"Balanced random forest",0.05,4726,327,0.32063354348925,0.877087022140851,0.440545832719973,0.37308868501529,0.974085019322573,0.516949152542373,0.932501057977148,0.673586852168932,0.433392539964476,0.048855260532238,0.0499365213711384,122,114,205,4285
"Balanced random forest",0.1,4726,327,0.188274592056,0.877087022140851,0.440545832719973,0.577981651376147,0.935667197090248,0.400423728813559,0.910918324164198,0.756824424233197,0.473091364205257,0.048855260532238,0.0998730427422768,189,283,138,4116
"Balanced random forest",0.15,4726,327,0.12673879641825,0.877087022140851,0.440545832719973,0.675840978593272,0.889293021141168,0.312146892655367,0.874523910283538,0.78256699986722,0.427053140096618,0.048855260532238,0.149809564113415,221,487,106,3912
"Balanced random forest",0.2,4726,327,0.09345273658975,0.877087022140851,0.440545832719973,0.743119266055046,0.840418276881109,0.257142857142857,0.833685992382565,0.791768771468078,0.382075471698113,0.048855260532238,0.199957680914092,243,702,84,3697
"Balanced random forest",0.25,4726,327,0.069403850431,0.877087022140851,0.440545832719973,0.813455657492355,0.791998181404865,0.225232853513971,0.793482860770207,0.80272691944861,0.352785145888594,0.048855260532238,0.249894202285231,266,915,61,3484
"Balanced random forest",0.3,4726,327,0.05400026186625,0.877087022140851,0.440545832719973,0.850152905198777,0.74107751761764,0.196189131968948,0.748624629707998,0.795615211408209,0.318807339449541,0.048855260532238,0.299830723656369,278,1139,49,3260
