"feature","description","sample","n","vif"
"Attr1","Net profit / assets","One-year development",4726,2.51728478210243
"Attr2","Liabilities / assets","One-year development",4726,4.75497689325664
"Attr3","Working capital / assets","One-year development",4726,3.44251502574738
"Attr4","Current assets / short-term liabilities","One-year development",4726,6.17148878167348
"Attr6","Retained earnings / assets","One-year development",4726,2.04983616199695
"Attr9","Sales / assets","One-year development",4726,1.72599898518906
"Attr13","Gross profit plus depreciation / sales","One-year development",4726,2.40467085139689
"Attr20","Inventory days","One-year development",4726,1.32319517686808
"Attr21","Sales growth ratio","One-year development",4726,1.13445076138279
"Attr25","Equity less share capital / assets","One-year development",4726,4.19343632929454
"Attr26","Net profit plus depreciation / liabilities","One-year development",4726,2.806914645636
"Attr29","Log total assets","One-year development",4726,1.53827664749485
"Attr40","Cash-like current assets / short-term liabilities","One-year development",4726,4.46338910078574
"Attr44","Receivables days","One-year development",4726,1.47097882403646
"Attr60","Sales / inventory","One-year development",4726,1.08099613508444
"Attr61","Sales / receivables","One-year development",4726,1.3970871481077
