"model","threshold","missed_bankruptcy_cost_relative_to_false_positive","illustrative_cost_per_observation","recall","review_rate"
"Ridge logistic",0.01,5,0.850825222175201,0.987767584097859,0.914938637325434
"Ridge logistic",0.01,10,0.855057130765975,0.987767584097859,0.914938637325434
"Ridge logistic",0.01,20,0.863520947947524,0.987767584097859,0.914938637325434
"Ridge logistic",0.02,5,0.68705035971223,0.957186544342508,0.73846804909014
"Ridge logistic",0.02,10,0.701862039779941,0.957186544342508,0.73846804909014
"Ridge logistic",0.02,20,0.731485399915362,0.957186544342508,0.73846804909014
"Ridge logistic",0.03,5,0.506771053745239,0.914373088685015,0.540414727041896
"Ridge logistic",0.03,10,0.53639441388066,0.914373088685015,0.540414727041896
"Ridge logistic",0.03,20,0.595641134151502,0.914373088685015,0.540414727041896
"Ridge logistic",0.04,5,0.377697841726619,0.874617737003058,0.394837071519255
"Ridge logistic",0.04,10,0.421074904782057,0.874617737003058,0.394837071519255
"Ridge logistic",0.04,20,0.507829030892933,0.874617737003058,0.394837071519255
"Ridge logistic",0.05,5,0.297714769360982,0.82262996941896,0.293271265340669
"Ridge logistic",0.05,10,0.359077443927211,0.82262996941896,0.293271265340669
"Ridge logistic",0.05,20,0.48180279305967,0.82262996941896,0.293271265340669
"Ridge logistic",0.06,5,0.247355057130766,0.788990825688073,0.228946254760897
"Ridge logistic",0.06,10,0.320355480321625,0.788990825688073,0.228946254760897
"Ridge logistic",0.06,20,0.466356326703343,0.788990825688073,0.228946254760897
"Ridge logistic",0.06646771608875,5,0.232331781633517,0.755351681957186,0.199957680914092
"Ridge logistic",0.06646771608875,10,0.316969953449006,0.755351681957186,0.199957680914092
"Ridge logistic",0.06646771608875,20,0.486246297079983,0.755351681957186,0.199957680914092
"Ridge logistic",0.07,5,0.224925941599661,0.740061162079511,0.186203977994075
"Ridge logistic",0.07,10,0.314853999153618,0.740061162079511,0.186203977994075
"Ridge logistic",0.07,20,0.494710114261532,0.740061162079511,0.186203977994075
"Ridge logistic",0.08,5,0.209691070672873,0.700305810397553,0.154464663563267
"Ridge logistic",0.08,10,0.313372831146847,0.700305810397553,0.154464663563267
"Ridge logistic",0.08,20,0.520736352094795,0.700305810397553,0.154464663563267
"Ridge logistic",0.09,5,0.204189589504867,0.663608562691132,0.133728311468472
"Ridge logistic",0.09,10,0.320567075751164,0.663608562691132,0.133728311468472
"Ridge logistic",0.09,20,0.553322048243758,0.663608562691132,0.133728311468472
"Ridge logistic",0.09345273658975,5,0.203343207786712,0.648318042813456,0.126534066864156
"Ridge logistic",0.09345273658975,10,0.325010579771477,0.648318042813456,0.126534066864156
"Ridge logistic",0.09345273658975,20,0.568345323741007,0.648318042813456,0.126534066864156
"Ridge logistic",0.1,5,0.20038087177317,0.63302752293578,0.117223867964452
"Ridge logistic",0.1,10,0.327338129496403,0.63302752293578,0.117223867964452
"Ridge logistic",0.1,20,0.581252644942869,0.63302752293578,0.117223867964452
"Ridge logistic",0.11,5,0.206305543800254,0.587155963302752,0.104104951333051
"Ridge logistic",0.11,10,0.349132458738891,0.587155963302752,0.104104951333051
"Ridge logistic",0.11,20,0.634786288616166,0.587155963302752,0.104104951333051
"Ridge logistic",0.12,5,0.206093948370715,0.565749235474006,0.0950063478628862
"Ridge logistic",0.12,10,0.356326703343208,0.565749235474006,0.0950063478628862
"Ridge logistic",0.12,20,0.656792213288193,0.565749235474006,0.0950063478628862
"Ridge logistic",0.13,5,0.207575116377486,0.54434250764526,0.0876005078290309
"Ridge logistic",0.13,10,0.365213711383834,0.54434250764526,0.0876005078290309
"Ridge logistic",0.13,20,0.68049090139653,0.54434250764526,0.0876005078290309
"Ridge logistic",0.14,5,0.211383834109183,0.516819571865443,0.0799830723656369
"Ridge logistic",0.14,10,0.378544223444774,0.516819571865443,0.0799830723656369
"Ridge logistic",0.14,20,0.712865002115954,0.516819571865443,0.0799830723656369
"Ridge logistic",0.15,5,0.212865002115954,0.501529051987768,0.0751163774862463
"Ridge logistic",0.15,10,0.385315277190013,0.501529051987768,0.0751163774862463
"Ridge logistic",0.15,20,0.73021582733813,0.501529051987768,0.0751163774862463
"Ridge logistic",0.16,5,0.21349978840457,0.489296636085627,0.0706728734659331
"Ridge logistic",0.16,10,0.390181972069403,0.489296636085627,0.0706728734659331
"Ridge logistic",0.16,20,0.743546339399069,0.489296636085627,0.0706728734659331
"Ridge logistic",0.17,5,0.220694033008887,0.46177370030581,0.0664409648751587
"Ridge logistic",0.17,10,0.406898011002962,0.46177370030581,0.0664409648751587
"Ridge logistic",0.17,20,0.779305966991113,0.46177370030581,0.0664409648751587
"Ridge logistic",0.18,5,0.219847651290732,0.45565749235474,0.0630554380025391
"Ridge logistic",0.18,10,0.408167583580195,0.45565749235474,0.0630554380025391
"Ridge logistic",0.18,20,0.78480744815912,0.45565749235474,0.0630554380025391
"Ridge logistic",0.19,5,0.217096910706729,0.45565749235474,0.0603046974185358
"Ridge logistic",0.19,10,0.405416842996191,0.45565749235474,0.0603046974185358
"Ridge logistic",0.19,20,0.782056707575116,0.45565749235474,0.0603046974185358
"Ridge logistic",0.2,5,0.219001269572577,0.446483180428135,0.0584003385526873
"Ridge logistic",0.2,10,0.410495133305121,0.446483180428135,0.0584003385526873
"Ridge logistic",0.2,20,0.793482860770207,0.446483180428135,0.0584003385526873
"Ridge logistic",0.21,5,0.222809987304274,0.431192660550459,0.0558611933982226
"Ridge logistic",0.21,10,0.419593736775286,0.431192660550459,0.0558611933982226
"Ridge logistic",0.21,20,0.813161235717308,0.431192660550459,0.0558611933982226
"Ridge logistic",0.22,5,0.227253491324587,0.409785932721713,0.0514176893779094
"Ridge logistic",0.22,10,0.431443080829454,0.409785932721713,0.0514176893779094
"Ridge logistic",0.22,20,0.839822259839187,0.409785932721713,0.0514176893779094
"Ridge logistic",0.23,5,0.232543377063055,0.391437308868502,0.0490901396529835
"Ridge logistic",0.23,10,0.443080829454084,0.391437308868502,0.0490901396529835
"Ridge logistic",0.23,20,0.86415573423614,0.391437308868502,0.0490901396529835
"Ridge logistic",0.24,5,0.232754972492594,0.388379204892966,0.0480321625052899
"Ridge logistic",0.24,10,0.444350402031316,0.388379204892966,0.0480321625052899
"Ridge logistic",0.24,20,0.86754126110876,0.388379204892966,0.0480321625052899
"Ridge logistic",0.25,5,0.232331781633517,0.385321100917431,0.0463393990689801
"Ridge logistic",0.25,10,0.444985188319932,0.385321100917431,0.0463393990689801
"Ridge logistic",0.25,20,0.870292001692763,0.385321100917431,0.0463393990689801
"Ridge logistic",0.26,5,0.234447735928904,0.376146788990826,0.0446466356326703
"Ridge logistic",0.26,10,0.4502750740584,0.376146788990826,0.0446466356326703
"Ridge logistic",0.26,20,0.881929750317393,0.376146788990826,0.0446466356326703
"Ridge logistic",0.27,5,0.236140499365214,0.370030581039755,0.0438002539145154
"Ridge logistic",0.27,10,0.454083791790097,0.370030581039755,0.0438002539145154
"Ridge logistic",0.27,20,0.889970376639865,0.370030581039755,0.0438002539145154
"Ridge logistic",0.28,5,0.237621667371985,0.363914373088685,0.0427422767668218
"Ridge logistic",0.28,10,0.457680914092256,0.363914373088685,0.0427422767668218
"Ridge logistic",0.28,20,0.897799407532797,0.363914373088685,0.0427422767668218
"Ridge logistic",0.29,5,0.239737621667372,0.35474006116208,0.0410495133305121
"Ridge logistic",0.29,10,0.462970799830724,0.35474006116208,0.0410495133305121
"Ridge logistic",0.29,20,0.909437156157427,0.35474006116208,0.0410495133305121
"Ridge logistic",0.3,5,0.240795598815066,0.348623853211009,0.039568345323741
"Ridge logistic",0.3,10,0.466144731273805,0.348623853211009,0.039568345323741
"Ridge logistic",0.3,20,0.916842996191282,0.348623853211009,0.039568345323741
"Ridge logistic",0.31,5,0.240795598815066,0.345565749235474,0.0382987727465087
"Ridge logistic",0.31,10,0.467202708421498,0.345565749235474,0.0382987727465087
"Ridge logistic",0.31,20,0.920016927634363,0.345565749235474,0.0382987727465087
"Ridge logistic",0.32,5,0.240584003385527,0.345565749235474,0.03808717731697
"Ridge logistic",0.32,10,0.466991112991959,0.345565749235474,0.03808717731697
"Ridge logistic",0.32,20,0.919805332204824,0.345565749235474,0.03808717731697
"Ridge logistic",0.33,5,0.241007194244604,0.342507645259939,0.0372407955988151
"Ridge logistic",0.33,10,0.46847228099873,0.342507645259939,0.0372407955988151
"Ridge logistic",0.33,20,0.923402454506983,0.342507645259939,0.0372407955988151
"Ridge logistic",0.34,5,0.240584003385527,0.342507645259939,0.0368176047397376
"Ridge logistic",0.34,10,0.468049090139653,0.342507645259939,0.0368176047397376
"Ridge logistic",0.34,20,0.922979263647905,0.342507645259939,0.0368176047397376
"Ridge logistic",0.35,5,0.241430385103682,0.339449541284404,0.0363944138806602
"Ridge logistic",0.35,10,0.469953449005501,0.339449541284404,0.0363944138806602
"Ridge logistic",0.35,20,0.926999576809141,0.339449541284404,0.0363944138806602
"Ridge logistic",0.36,5,0.245239102835379,0.327217125382263,0.0351248413034278
"Ridge logistic",0.36,10,0.477994075327973,0.327217125382263,0.0351248413034278
"Ridge logistic",0.36,20,0.943504020313161,0.327217125382263,0.0351248413034278
"Ridge logistic",0.37,5,0.244815911976301,0.327217125382263,0.0347016504443504
"Ridge logistic",0.37,10,0.477570884468895,0.327217125382263,0.0347016504443504
"Ridge logistic",0.37,20,0.943080829454084,0.327217125382263,0.0347016504443504
"Ridge logistic",0.38,5,0.244392721117224,0.327217125382263,0.034278459585273
"Ridge logistic",0.38,10,0.477147693609818,0.327217125382263,0.034278459585273
"Ridge logistic",0.38,20,0.942657638595006,0.327217125382263,0.034278459585273
"Ridge logistic",0.39,5,0.24502750740584,0.324159021406728,0.0336436732966568
"Ridge logistic",0.39,10,0.478840457046128,0.324159021406728,0.0336436732966568
"Ridge logistic",0.39,20,0.946466356326703,0.324159021406728,0.0336436732966568
"Ridge logistic",0.4,5,0.244604316546763,0.324159021406728,0.0332204824375794
"Ridge logistic",0.4,10,0.47841726618705,0.324159021406728,0.0332204824375794
"Ridge logistic",0.4,20,0.946043165467626,0.324159021406728,0.0332204824375794
"Ridge logistic",0.41,5,0.244181125687685,0.324159021406728,0.0327972915785019
"Ridge logistic",0.41,10,0.477994075327973,0.324159021406728,0.0327972915785019
"Ridge logistic",0.41,20,0.945619974608548,0.324159021406728,0.0327972915785019
