"feature","description","iqr_shift","raw_ratio_shift","model","baseline_mean_risk","scenario_mean_risk","mean_risk_change","baseline_review_n","scenario_review_n"
"Attr1","Net profit / assets",-0.5,-0.05680775,"Ridge logistic",0.0736671136153496,0.0774420305878311,0.00377491697248142,241,263
"Attr1","Net profit / assets",-0.5,-0.05680775,"Balanced random forest",0.069059189713538,0.0727686423959831,0.0037094526824451,222,242
"Attr1","Net profit / assets",0.5,0.05680775,"Ridge logistic",0.0736671136153496,0.0701256823062314,-0.00354143130911824,241,212
"Attr1","Net profit / assets",0.5,0.05680775,"Balanced random forest",0.069059189713538,0.0660766169304316,-0.00298257278310642,222,213
"Attr2","Liabilities / assets",-0.5,-0.20416,"Ridge logistic",0.0736671136153496,0.0704366894148725,-0.0032304242004772,241,212
"Attr2","Liabilities / assets",-0.5,-0.20416,"Balanced random forest",0.069059189713538,0.0684023761395541,-0.000656813573983953,222,217
"Attr2","Liabilities / assets",0.5,0.20416,"Ridge logistic",0.0736671136153496,0.0773023601057407,0.00363524649039105,241,262
"Attr2","Liabilities / assets",0.5,0.20416,"Balanced random forest",0.069059189713538,0.0692735754414012,0.000214385727863176,222,221
"Attr4","Current assets / short-term liabilities",-0.5,-0.920625,"Ridge logistic",0.0736671136153496,0.0734352008146157,-0.000231912800733953,241,240
"Attr4","Current assets / short-term liabilities",-0.5,-0.920625,"Balanced random forest",0.069059189713538,0.077633433061989,0.00857424334845101,222,257
"Attr4","Current assets / short-term liabilities",0.5,0.920625,"Ridge logistic",0.0736671136153496,0.0739534232949738,0.000286309679624156,241,242
"Attr4","Current assets / short-term liabilities",0.5,0.920625,"Balanced random forest",0.069059189713538,0.0559684724067162,-0.0130907173068218,222,194
"Attr21","Sales growth ratio",-0.5,-0.1384225,"Ridge logistic",0.0736671136153496,0.0853107830574485,0.0116436694420988,241,347
"Attr21","Sales growth ratio",-0.5,-0.1384225,"Balanced random forest",0.069059189713538,0.0787432684537331,0.0096840787401951,222,262
"Attr21","Sales growth ratio",0.5,0.1384225,"Ridge logistic",0.0736671136153496,0.0638454392220802,-0.00982167439326943,241,180
"Attr21","Sales growth ratio",0.5,0.1384225,"Balanced random forest",0.069059189713538,0.0606899193230439,-0.00836927039049409,222,193
