"file","feature","missing_n","missing_rate"
"1year.arff","Attr1",3,0.000426924718941227
"1year.arff","Attr2",3,0.000426924718941227
"1year.arff","Attr3",3,0.000426924718941227
"1year.arff","Attr4",30,0.00426924718941227
"1year.arff","Attr5",8,0.0011384659171766
"1year.arff","Attr6",3,0.000426924718941227
"1year.arff","Attr7",3,0.000426924718941227
"1year.arff","Attr8",25,0.00355770599117689
"1year.arff","Attr9",1,0.000142308239647076
"1year.arff","Attr10",3,0.000426924718941227
"1year.arff","Attr11",39,0.00555002134623595
"1year.arff","Attr12",30,0.00426924718941227
"1year.arff","Attr13",0,0
"1year.arff","Attr14",3,0.000426924718941227
"1year.arff","Attr15",2,0.000284616479294151
"1year.arff","Attr16",25,0.00355770599117689
"1year.arff","Attr17",25,0.00355770599117689
"1year.arff","Attr18",3,0.000426924718941227
"1year.arff","Attr19",0,0
"1year.arff","Attr20",0,0
"1year.arff","Attr21",1622,0.230823964707557
"1year.arff","Attr22",3,0.000426924718941227
"1year.arff","Attr23",0,0
"1year.arff","Attr24",124,0.0176462217162374
"1year.arff","Attr25",3,0.000426924718941227
"1year.arff","Attr26",25,0.00355770599117689
"1year.arff","Attr27",311,0.0442578625302405
"1year.arff","Attr28",34,0.00483848014800057
"1year.arff","Attr29",3,0.000426924718941227
"1year.arff","Attr30",0,0
"1year.arff","Attr31",0,0
"1year.arff","Attr32",38,0.00540771310658887
"1year.arff","Attr33",30,0.00426924718941227
"1year.arff","Attr34",25,0.00355770599117689
"1year.arff","Attr35",3,0.000426924718941227
"1year.arff","Attr36",3,0.000426924718941227
"1year.arff","Attr37",2740,0.389924576632987
"1year.arff","Attr38",3,0.000426924718941227
"1year.arff","Attr39",0,0
"1year.arff","Attr40",30,0.00426924718941227
"1year.arff","Attr41",84,0.0119538921303543
"1year.arff","Attr42",0,0
"1year.arff","Attr43",0,0
"1year.arff","Attr44",0,0
"1year.arff","Attr45",134,0.0190693041127081
"1year.arff","Attr46",31,0.00441155542905934
"1year.arff","Attr47",29,0.00412693894976519
"1year.arff","Attr48",3,0.000426924718941227
"1year.arff","Attr49",0,0
"1year.arff","Attr50",25,0.00355770599117689
"1year.arff","Attr51",3,0.000426924718941227
"1year.arff","Attr52",29,0.00412693894976519
"1year.arff","Attr53",34,0.00483848014800057
"1year.arff","Attr54",34,0.00483848014800057
"1year.arff","Attr55",0,0
"1year.arff","Attr56",0,0
"1year.arff","Attr57",1,0.000142308239647076
"1year.arff","Attr58",0,0
"1year.arff","Attr59",1,0.000142308239647076
"1year.arff","Attr60",135,0.0192116123523552
"1year.arff","Attr61",22,0.00313078127223566
"1year.arff","Attr62",0,0
"1year.arff","Attr63",30,0.00426924718941227
"1year.arff","Attr64",34,0.00483848014800057
"2year.arff","Attr1",1,9.82994200334218e-05
"2year.arff","Attr2",1,9.82994200334218e-05
"2year.arff","Attr3",1,9.82994200334218e-05
"2year.arff","Attr4",22,0.00216258724073528
"2year.arff","Attr5",24,0.00235918608080212
"2year.arff","Attr6",1,9.82994200334218e-05
"2year.arff","Attr7",1,9.82994200334218e-05
"2year.arff","Attr8",18,0.00176938956060159
"2year.arff","Attr9",4,0.000393197680133687
"2year.arff","Attr10",1,9.82994200334218e-05
"2year.arff","Attr11",1,9.82994200334218e-05
"2year.arff","Attr12",22,0.00216258724073528
"2year.arff","Attr13",63,0.00619286346210557
"2year.arff","Attr14",1,9.82994200334218e-05
"2year.arff","Attr15",12,0.00117959304040106
"2year.arff","Attr16",19,0.00186768898063501
"2year.arff","Attr17",18,0.00176938956060159
"2year.arff","Attr18",1,9.82994200334218e-05
"2year.arff","Attr19",64,0.006291162882139
"2year.arff","Attr20",63,0.00619286346210557
"2year.arff","Attr21",3164,0.311019364985747
"2year.arff","Attr22",1,9.82994200334218e-05
"2year.arff","Attr23",63,0.00619286346210557
"2year.arff","Attr24",225,0.0221173695075199
"2year.arff","Attr25",1,9.82994200334218e-05
"2year.arff","Attr26",19,0.00186768898063501
"2year.arff","Attr27",706,0.0693993905435958
"2year.arff","Attr28",212,0.0208394770470854
"2year.arff","Attr29",1,9.82994200334218e-05
"2year.arff","Attr30",63,0.00619286346210557
"2year.arff","Attr31",63,0.00619286346210557
"2year.arff","Attr32",87,0.0085520495429077
"2year.arff","Attr33",22,0.00216258724073528
"2year.arff","Attr34",18,0.00176938956060159
"2year.arff","Attr35",1,9.82994200334218e-05
"2year.arff","Attr36",1,9.82994200334218e-05
"2year.arff","Attr37",4518,0.444116779711
"2year.arff","Attr38",1,9.82994200334218e-05
"2year.arff","Attr39",63,0.00619286346210557
"2year.arff","Attr40",22,0.00216258724073528
"2year.arff","Attr41",197,0.0193649857465841
"2year.arff","Attr42",63,0.00619286346210557
"2year.arff","Attr43",63,0.00619286346210557
"2year.arff","Attr44",63,0.00619286346210557
"2year.arff","Attr45",541,0.0531799862380812
"2year.arff","Attr46",22,0.00216258724073528
"2year.arff","Attr47",74,0.00727415708247321
"2year.arff","Attr48",2,0.000196598840066844
"2year.arff","Attr49",63,0.00619286346210557
"2year.arff","Attr50",18,0.00176938956060159
"2year.arff","Attr51",1,9.82994200334218e-05
"2year.arff","Attr52",74,0.00727415708247321
"2year.arff","Attr53",212,0.0208394770470854
"2year.arff","Attr54",212,0.0208394770470854
"2year.arff","Attr55",1,9.82994200334218e-05
"2year.arff","Attr56",63,0.00619286346210557
"2year.arff","Attr57",2,0.000196598840066844
"2year.arff","Attr58",39,0.00383367738130345
"2year.arff","Attr59",2,0.000196598840066844
"2year.arff","Attr60",543,0.053376585078148
"2year.arff","Attr61",16,0.00157279072053475
"2year.arff","Attr62",63,0.00619286346210557
"2year.arff","Attr63",22,0.00216258724073528
"2year.arff","Attr64",212,0.0208394770470854
"3year.arff","Attr1",0,0
"3year.arff","Attr2",0,0
"3year.arff","Attr3",0,0
"3year.arff","Attr4",18,0.00171379605826907
"3year.arff","Attr5",25,0.00238027230315148
"3year.arff","Attr6",0,0
"3year.arff","Attr7",0,0
"3year.arff","Attr8",14,0.00133295248976483
"3year.arff","Attr9",3,0.000285632676378178
"3year.arff","Attr10",0,0
"3year.arff","Attr11",0,0
"3year.arff","Attr12",18,0.00171379605826907
"3year.arff","Attr13",43,0.00409406836142055
"3year.arff","Attr14",0,0
"3year.arff","Attr15",8,0.000761687137008474
"3year.arff","Attr16",14,0.00133295248976483
"3year.arff","Attr17",14,0.00133295248976483
"3year.arff","Attr18",0,0
"3year.arff","Attr19",43,0.00409406836142055
"3year.arff","Attr20",43,0.00409406836142055
"3year.arff","Attr21",807,0.0768351899457298
"3year.arff","Attr22",0,0
"3year.arff","Attr23",43,0.00409406836142055
"3year.arff","Attr24",227,0.0216128725126154
"3year.arff","Attr25",0,0
"3year.arff","Attr26",14,0.00133295248976483
"3year.arff","Attr27",715,0.0680757878701323
"3year.arff","Attr28",228,0.0217080834047415
"3year.arff","Attr29",0,0
"3year.arff","Attr30",43,0.00409406836142055
"3year.arff","Attr31",43,0.00409406836142055
"3year.arff","Attr32",101,0.00961630010473198
"3year.arff","Attr33",18,0.00171379605826907
"3year.arff","Attr34",14,0.00133295248976483
"3year.arff","Attr35",0,0
"3year.arff","Attr36",0,0
"3year.arff","Attr37",4736,0.450918785109016
"3year.arff","Attr38",0,0
"3year.arff","Attr39",43,0.00409406836142055
"3year.arff","Attr40",18,0.00171379605826907
"3year.arff","Attr41",202,0.019232600209464
"3year.arff","Attr42",43,0.00409406836142055
"3year.arff","Attr43",43,0.00409406836142055
"3year.arff","Attr44",43,0.00409406836142055
"3year.arff","Attr45",591,0.056269637246501
"3year.arff","Attr46",18,0.00171379605826907
"3year.arff","Attr47",86,0.00818813672284109
"3year.arff","Attr48",0,0
"3year.arff","Attr49",43,0.00409406836142055
"3year.arff","Attr50",14,0.00133295248976483
"3year.arff","Attr51",0,0
"3year.arff","Attr52",86,0.00818813672284109
"3year.arff","Attr53",228,0.0217080834047415
"3year.arff","Attr54",228,0.0217080834047415
"3year.arff","Attr55",0,0
"3year.arff","Attr56",43,0.00409406836142055
"3year.arff","Attr57",0,0
"3year.arff","Attr58",29,0.00276111587165572
"3year.arff","Attr59",0,0
"3year.arff","Attr60",592,0.0563648481386271
"3year.arff","Attr61",17,0.00161858516614301
"3year.arff","Attr62",43,0.00409406836142055
"3year.arff","Attr63",18,0.00171379605826907
"3year.arff","Attr64",228,0.0217080834047415
"4year.arff","Attr1",1,0.000102124183006536
"4year.arff","Attr2",1,0.000102124183006536
"4year.arff","Attr3",1,0.000102124183006536
"4year.arff","Attr4",43,0.00439133986928105
"4year.arff","Attr5",21,0.00214460784313726
"4year.arff","Attr6",1,0.000102124183006536
"4year.arff","Attr7",1,0.000102124183006536
"4year.arff","Attr8",19,0.00194035947712418
"4year.arff","Attr9",0,0
"4year.arff","Attr10",1,0.000102124183006536
"4year.arff","Attr11",1,0.000102124183006536
"4year.arff","Attr12",43,0.00439133986928105
"4year.arff","Attr13",21,0.00214460784313726
"4year.arff","Attr14",1,0.000102124183006536
"4year.arff","Attr15",8,0.000816993464052288
"4year.arff","Attr16",19,0.00194035947712418
"4year.arff","Attr17",19,0.00194035947712418
"4year.arff","Attr18",1,0.000102124183006536
"4year.arff","Attr19",21,0.00214460784313726
"4year.arff","Attr20",21,0.00214460784313726
"4year.arff","Attr21",158,0.0161356209150327
"4year.arff","Attr22",1,0.000102124183006536
"4year.arff","Attr23",21,0.00214460784313726
"4year.arff","Attr24",211,0.0215482026143791
"4year.arff","Attr25",1,0.000102124183006536
"4year.arff","Attr26",19,0.00194035947712418
"4year.arff","Attr27",641,0.0654616013071895
"4year.arff","Attr28",231,0.0235906862745098
"4year.arff","Attr29",1,0.000102124183006536
"4year.arff","Attr30",21,0.00214460784313726
"4year.arff","Attr31",21,0.00214460784313726
"4year.arff","Attr32",96,0.00980392156862745
"4year.arff","Attr33",43,0.00439133986928105
"4year.arff","Attr34",19,0.00194035947712418
"4year.arff","Attr35",1,0.000102124183006536
"4year.arff","Attr36",1,0.000102124183006536
"4year.arff","Attr37",4442,0.453635620915033
"4year.arff","Attr38",1,0.000102124183006536
"4year.arff","Attr39",21,0.00214460784313726
"4year.arff","Attr40",43,0.00439133986928105
"4year.arff","Attr41",187,0.0190972222222222
"4year.arff","Attr42",21,0.00214460784313726
"4year.arff","Attr43",21,0.00214460784313726
"4year.arff","Attr44",21,0.00214460784313726
"4year.arff","Attr45",613,0.0626021241830065
"4year.arff","Attr46",43,0.00439133986928105
"4year.arff","Attr47",73,0.00745506535947712
"4year.arff","Attr48",1,0.000102124183006536
"4year.arff","Attr49",21,0.00214460784313726
"4year.arff","Attr50",19,0.00194035947712418
"4year.arff","Attr51",1,0.000102124183006536
"4year.arff","Attr52",76,0.00776143790849673
"4year.arff","Attr53",231,0.0235906862745098
"4year.arff","Attr54",231,0.0235906862745098
"4year.arff","Attr55",0,0
"4year.arff","Attr56",21,0.00214460784313726
"4year.arff","Attr57",1,0.000102124183006536
"4year.arff","Attr58",16,0.00163398692810458
"4year.arff","Attr59",1,0.000102124183006536
"4year.arff","Attr60",614,0.0627042483660131
"4year.arff","Attr61",32,0.00326797385620915
"4year.arff","Attr62",21,0.00214460784313726
"4year.arff","Attr63",43,0.00439133986928105
"4year.arff","Attr64",231,0.0235906862745098
"5year.arff","Attr1",3,0.00050761421319797
"5year.arff","Attr2",3,0.00050761421319797
"5year.arff","Attr3",3,0.00050761421319797
"5year.arff","Attr4",21,0.00355329949238579
"5year.arff","Attr5",11,0.00186125211505922
"5year.arff","Attr6",3,0.00050761421319797
"5year.arff","Attr7",3,0.00050761421319797
"5year.arff","Attr8",18,0.00304568527918782
"5year.arff","Attr9",1,0.000169204737732657
"5year.arff","Attr10",3,0.00050761421319797
"5year.arff","Attr11",3,0.00050761421319797
"5year.arff","Attr12",21,0.00355329949238579
"5year.arff","Attr13",0,0
"5year.arff","Attr14",3,0.00050761421319797
"5year.arff","Attr15",6,0.00101522842639594
"5year.arff","Attr16",18,0.00304568527918782
"5year.arff","Attr17",18,0.00304568527918782
"5year.arff","Attr18",3,0.00050761421319797
"5year.arff","Attr19",0,0
"5year.arff","Attr20",0,0
"5year.arff","Attr21",103,0.0174280879864636
"5year.arff","Attr22",3,0.00050761421319797
"5year.arff","Attr23",0,0
"5year.arff","Attr24",135,0.0228426395939086
