"feature","description"
"Attr1","Net profit / assets"
"Attr2","Liabilities / assets"
"Attr3","Working capital / assets"
"Attr4","Current assets / short-term liabilities"
"Attr6","Retained earnings / assets"
"Attr9","Sales / assets"
"Attr13","Gross profit plus depreciation / sales"
"Attr20","Inventory days"
"Attr21","Sales growth ratio"
"Attr25","Equity less share capital / assets"
"Attr26","Net profit plus depreciation / liabilities"
"Attr29","Log total assets"
"Attr40","Cash-like current assets / short-term liabilities"
"Attr44","Receivables days"
"Attr60","Sales / inventory"
"Attr61","Sales / receivables"
